station_id,stationname,date,daytype,rides
41090,Monroe/State,2019-04-07T00:00:00.000,U,2363
41500,Montrose-Brown,2019-02-06T00:00:00.000,W,2640
40900,Howard,2020-04-17T00:00:00.000,W,1494
41420,Addison-North Main,2019-03-30T00:00:00.000,A,40
41460,Irving Park-Brown,2024-10-13T00:00:00.000,U,1426
40810,Medical Center,2023-05-12T00:00:00.000,W,1291
40060,Belmont-O'Hare,2022-06-04T00:00:00.000,A,1835
40920,Pulaski-Forest Park,2019-01-01T00:00:00.000,U,1218
40070,Jackson/Dearborn,2023-01-27T00:00:00.000,W,2399
40320,Division/Milwaukee,2022-03-04T00:00:00.000,W,2622
40370,Washington/Dearborn,2019-04-29T00:00:00.000,W,13048
40880,Thorndale,2022-05-25T00:00:00.000,W,1284
40330,Grand/State,2023-11-14T00:00:00.000,W,5404
40830,18th,2021-01-21T00:00:00.000,W,524
41680,Oakton-Skokie,2021-02-14T00:00:00.000,U,66
41290,Kimball,2020-03-23T00:00:00.000,W,707
40440,California-Cermak,2020-09-02T00:00:00.000,W,607
41460,Irving Park-Brown,2022-09-02T00:00:00.000,W,1296
40770,Lawrence,2024-06-19T00:00:00.000,W,0
40920,Pulaski-Forest Park,2019-10-15T00:00:00.000,W,1794
40320,Division/Milwaukee,2020-11-19T00:00:00.000,W,965
40510,Garfield-South Elevated,2022-09-19T00:00:00.000,W,581
40400,Noyes,2019-05-27T00:00:00.000,U,358
41280,Jefferson Park,2023-02-04T00:00:00.000,A,1792
40900,Howard,2024-07-30T00:00:00.000,W,3132
40360,Southport,2022-11-29T00:00:00.000,W,1770
41070,Kedzie-Lake,2022-02-15T00:00:00.000,W,706
40430,Clinton-Forest Park,2019-04-12T00:00:00.000,W,3126
41450,Chicago/State,2020-09-23T00:00:00.000,W,2989
40850,Library,2019-10-07T00:00:00.000,W,4443
40790,Monroe/Dearborn,2022-06-14T00:00:00.000,W,3179
41250,Central-Evanston,2023-04-27T00:00:00.000,W,434
40010,Austin-Forest Park,2020-05-25T00:00:00.000,U,189
