service_date,day_type,bus,rail_boardings,total_rides
2019-01-01T00:00:00.000,U,248879,245852,494731
2019-01-02T00:00:00.000,W,591006,573542,1164548
2019-01-03T00:00:00.000,W,664442,627781,1292223
2019-01-04T00:00:00.000,W,668812,628514,1297326
2019-01-05T00:00:00.000,A,444434,348257,792691
2019-01-06T00:00:00.000,U,318623,260556,579179
2019-01-07T00:00:00.000,W,723023,662470,1385493
2019-01-08T00:00:00.000,W,784085,701693,1485778
2019-01-09T00:00:00.000,W,747949,685444,1433393
2019-01-10T00:00:00.000,W,747850,690162,1438012
2019-01-11T00:00:00.000,W,763718,679115,1442833
2019-01-12T00:00:00.000,A,382464,325219,707683
2019-01-13T00:00:00.000,U,301855,250222,552077
2019-01-14T00:00:00.000,W,756590,705571,1462161
2019-01-15T00:00:00.000,W,783113,720095,1503208
2019-01-16T00:00:00.000,W,800537,728048,1528585
2019-01-17T00:00:00.000,W,800348,734929,1535277
2019-01-18T00:00:00.000,W,776640,700006,1476646
2019-01-19T00:00:00.000,A,337080,312424,649504
2019-01-20T00:00:00.000,U,271961,236744,508705
2019-01-21T00:00:00.000,W,445534,401503,847037
2019-01-22T00:00:00.000,W,757962,712125,1470087
2019-01-23T00:00:00.000,W,764136,718899,1483035
2019-01-24T00:00:00.000,W,745872,711300,1457172
2019-01-25T00:00:00.000,W,568100,590674,1158774
2019-01-26T00:00:00.000,A,343625,296063,639688
2019-01-27T00:00:00.000,U,258884,221081,479965
2019-01-28T00:00:00.000,W,668192,678810,1347002
2019-01-29T00:00:00.000,W,581664,579917,1161581
2019-01-30T00:00:00.000,W,124154,97917,222071
2019-01-31T00:00:00.000,W,282336,243912,526248
2019-02-01T00:00:00.000,W,683059,648091,1331150
2019-02-02T00:00:00.000,A,435441,345650,781091
2019-02-03T00:00:00.000,U,322488,250724,573212
2019-02-04T00:00:00.000,W,808055,718764,1526819
2019-02-05T00:00:00.000,W,808858,734181,1543039
2019-02-06T00:00:00.000,W,799164,727769,1526933
2019-02-07T00:00:00.000,W,789342,732351,1521693
2019-02-08T00:00:00.000,W,710682,655823,1366505
2019-02-09T00:00:00.000,A,423681,338847,762528
2019-02-10T00:00:00.000,U,296809,251192,548001
2019-02-11T00:00:00.000,W,779386,704667,1484053
