Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PetID,PhotoAmt,AdoptionSpeed
Cat,Nibble,3,Tabby,,1,Black,White,,1,1,2,2,2,1,100,Selangor,86e1089a3,1,2
Cat,No Name Yet,1,Domestic Medium Hair,,1,Black,Brown,,2,2,3,3,3,1,0,Kuala Lumpur,6296e909a,2,0
Dog,Brisco,1,Mixed Breed,,1,Brown,White,,2,2,1,1,2,1,0,Selangor,3422e4906,7,3
Dog,Miko,4,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,150,Kuala Lumpur,5842f1ff5,8,2
Dog,Hunter,1,Mixed Breed,,1,Black,,,2,1,2,2,2,1,0,Selangor,850a43f90,3,2
Cat,,3,Domestic Short Hair,,2,Cream,Gray,,2,1,2,2,2,1,0,Selangor,d24c30b4b,2,2
Cat,BULAT,12,Domestic Long Hair,Domestic Long Hair,1,Black,,,2,3,2,2,3,1,300,Selangor,1caa6fcdb,3,1
Cat,,2,Domestic Medium Hair,,2,Gray,,,2,2,2,2,2,1,0,Selangor,c06d167ca,6,1
Cat,Kitty,12,Domestic Medium Hair,,2,Black,White,,2,2,3,3,3,1,0,Selangor,7a0942d61,2,4
Dog,Bear,2,Mixed Breed,,1,Black,Brown,White,2,1,2,1,2,1,0,Kuala Lumpur,8b693ca84,7,1
Cat,Kali,3,Domestic Long Hair,,2,Black,Brown,Cream,3,3,1,1,2,1,50,Selangor,8e76c8e39,2,1
Dog,Peanut,2,Mixed Breed,,1,Brown,Cream,Gray,2,3,1,1,2,1,0,Selangor,aaedd873d,1,2
Dog,Lost Dog,3,Mixed Breed,,2,Brown,Cream,White,2,2,3,3,3,1,0,Kuala Lumpur,c02be41e6,2,2
Dog,Max,78,Terrier,Shih Tzu,1,Black,White,,2,2,3,3,3,1,0,Selangor,1fd342e17,2,4
Cat,Brownie,6,Domestic Short Hair,,2,Brown,,,1,1,1,1,1,1,0,Selangor,b38a74866,1,3
Dog,Blackie,8,Mixed Breed,Mixed Breed,2,Brown,,,2,1,2,1,1,1,10,Perak,f9d07d5fa,2,4
Dog,Beauty,2,Mixed Breed,,2,Black,,,2,1,2,1,2,1,0,Kuala Lumpur,1c92ce464,8,2
Dog,Godiva,12,Mixed Breed,,2,Brown,White,,2,2,2,1,1,1,0,Selangor,6436c1a59,7,2
Cat,Cikenet,3,Domestic Short Hair,,1,Brown,White,,1,1,2,1,2,1,0,Kuala Lumpur,988988d5b,19,1
Cat,Garfield,36,Persian,British Shorthair,1,Golden,,,3,2,1,1,1,1,0,Selangor,cf7d3eec0,3,2
Cat,No Name,2,Persian,Domestic Medium Hair,1,Golden,,,2,2,2,2,2,1,0,Kuala Lumpur,85fc3c314,11,1
Cat,No Name,1,Domestic Short Hair,,2,Black,,,2,1,2,2,2,1,0,Selangor,efbf1703a,2,2
Cat,Pepper,1,Domestic Short Hair,,2,Brown,White,,1,1,2,1,2,1,0,Pulau Pinang,d341fbfd6,1,2
Cat,Kekok,1,Domestic Short Hair,,1,Black,,,1,1,2,2,2,1,0,Terengganu,edb920079,1,1
Cat,Kitten Girl Girl,3,Domestic Short Hair,,2,Black,White,,1,1,1,2,2,1,1,Pulau Pinang,4c6fe4100,5,4
Cat,Tom,12,Domestic Long Hair,,2,Gray,,,2,3,2,2,2,1,0,Selangor,0737e4f11,5,1
Cat,Comel,2,Domestic Medium Hair,,2,Brown,,,1,2,2,2,2,1,0,Selangor,eabb13cea,3,1
Dog,WHISKY,12,Mixed Breed,,1,Black,,,2,1,2,2,2,1,0,Johor,deff069a2,4,1
Dog,Boy,12,Mixed Breed,,1,Cream,,,2,2,1,1,2,1,0,Selangor,4e3640544,1,3
Cat,Angel,2,Domestic Medium Hair,Domestic Short Hair,2,White,,,2,2,2,1,2,1,0,Selangor,ace21b6b1,13,3
Dog,Jack,5,Jack Russell Terrier,Mixed Breed,1,White,,,2,1,1,1,1,1,0,Kuala Lumpur,671ffc570,6,3
Dog,Xiao Gou,12,Mixed Breed,,1,Brown,White,,2,2,2,1,1,1,0,Johor,aece6e7bf,2,4
Cat,Cimpuk,5,Domestic Medium Hair,,1,Yellow,White,,1,3,1,1,2,1,0,Selangor,22f6c0ac6,13,3
Dog,Lollipop,72,Mixed Breed,,2,Brown,White,,2,1,1,1,1,1,0,Selangor,ea159d8da,3,4
Cat,Alang,60,Domestic Long Hair,,1,Black,Brown,White,3,3,1,1,1,1,0,Selangor,0d25f084f,3,2
Cat,Cedric Jones,6,Domestic Short Hair,,1,Black,Brown,White,2,1,1,1,1,1,100,Kuala Lumpur,7fe8ef73d,1,4
Dog,BouncerBoy: Beagle Mix,2,Mixed Breed,,1,Brown,White,,2,1,1,1,2,1,0,Selangor,015c75c9e,3,3
Cat,Hitler (rename-able),5,Domestic Short Hair,,1,Black,White,,2,1,2,1,2,1,30,Selangor,8c131db77,4,4
Dog,Skippy,24,Mixed Breed,,2,Cream,,,2,2,1,1,1,1,0,Selangor,d765ae877,2,2
Dog,Ceasar,4,Mixed Breed,,1,Cream,,,3,2,2,2,2,1,0,Selangor,8ce183889,3,1
Cat,Puss In Boots,1,Domestic Short Hair,,2,Yellow,,,2,1,2,2,2,1,0,Selangor,f9df8656a,5,1
Dog,Lego,9,Mixed Breed,,1,Brown,Cream,,2,1,1,1,3,1,0,Pulau Pinang,f0ef9c777,2,4
Dog,Milky,60,Mixed Breed,,2,Brown,Cream,,2,1,2,2,1,1,0,Selangor,3181e5424,2,4
Dog,IO-Male-03,2,Mixed Breed,,1,Black,Brown,,2,2,2,2,2,1,0,Pulau Pinang,9883a048e,5,2
Dog,Ding Ding,48,Shih Tzu,,2,Brown,Cream,,2,2,1,1,2,1,0,Selangor,e8d0907ae,5,1
Cat,,3,Domestic Short Hair,,2,Brown,,,2,1,2,2,2,1,0,Melaka,e540c1ba5,1,4
Cat,Almond,9,Domestic Short Hair,,2,Brown,White,,2,1,2,2,2,1,0,Kuala Lumpur,98a98311c,1,2
Dog,Jasz,62,Mixed Breed,,1,Black,Golden,Gray,2,2,1,1,1,1,0,Kuala Lumpur,ef14861df,3,4
Dog,H3,1,Mixed Breed,Mixed Breed,2,Black,Brown,,2,2,2,1,2,1,0,Selangor,aaf4a1439,1,3
Dog,Baby / Bubbles,2,Labrador Retriever,Jack Russell Terrier,1,Black,Brown,White,1,1,1,3,2,1,0,Kuala Lumpur,1e62e6022,5,1
Dog,Ollie,2,Mixed Breed,,1,Black,Brown,,1,1,1,1,2,1,0,Selangor,4e797dcdd,3,4
Dog,Coco,2,Mixed Breed,,2,Brown,Cream,,2,1,2,1,2,1,0,Johor,259b10a3e,1,0
Dog,Zoe,12,Mixed Breed,,2,Brown,,,2,1,1,1,1,1,0,Selangor,2c93c0c11,3,3
Dog,Z3,2,Mixed Breed,Mixed Breed,1,Brown,,,2,2,1,1,2,1,0,Selangor,35593da00,5,1
