programa,orden_preferencia,jornada,nota_formacion_previa,nota_admision,moroso,arancel_al_dia,beca,edad_ingreso,desempleo,inflacion,crecimiento_pib,asignaturas_convalidadas,asignaturas_inscritas,evaluaciones_realizadas,asignaturas_aprobadas,promedio_notas,asignaturas_sin_evaluacion,resultado
Diseño de animación y multimedia,5,diurna,122.0,127.3,0,1,0,20,10.8,1.4,1.74,0,0,0,0,0.0,0,abandono
Turismo,1,diurna,160.0,142.5,0,0,0,19,13.9,-0.3,0.79,0,6,6,6,14.0,0,graduado
Diseño de comunicación,5,diurna,122.0,124.8,0,0,0,19,10.8,1.4,1.74,0,6,0,0,0.0,0,abandono
Periodismo y comunicación,2,diurna,122.0,119.6,0,1,0,20,9.4,-0.8,-3.12,0,6,8,6,13.428571428571429,0,graduado
Servicio social,1,vespertina,100.0,141.5,0,1,0,45,13.9,-0.3,0.79,0,6,9,5,12.333333333333334,0,graduado
Administración,1,vespertina,133.1,114.8,1,1,0,50,16.2,0.3,-0.92,0,5,10,5,11.857142857142858,0,graduado
Enfermería,1,diurna,142.0,128.4,0,1,1,18,15.5,2.8,-4.06,0,7,9,7,13.3,0,graduado
Turismo,4,diurna,119.0,113.1,0,0,0,22,15.5,2.8,-4.06,0,5,5,0,0.0,0,abandono
Servicio social,3,diurna,137.0,129.3,0,1,1,21,16.2,0.3,-0.92,0,6,8,6,13.875,0,graduado
Servicio social,1,diurna,138.0,123.0,1,0,0,18,8.9,1.4,3.51,0,6,9,5,11.4,0,abandono
Gestión de publicidad y marketing,1,diurna,139.0,130.6,0,1,0,18,13.9,-0.3,0.79,0,6,6,6,12.333333333333334,0,graduado
Enfermería,1,diurna,136.0,119.3,0,1,1,18,12.7,3.7,-1.7,0,8,8,7,13.214285714285714,0,graduado
Educación básica,2,diurna,133.0,130.2,0,1,0,19,12.7,3.7,-1.7,0,6,6,0,0.0,0,abandono
Turismo,1,diurna,110.0,111.8,0,1,1,21,8.9,1.4,3.51,0,6,7,6,10.571428571428571,0,graduado
Enfermería veterinaria,1,diurna,149.0,137.1,0,1,1,18,10.8,1.4,1.74,0,5,7,4,13.25,0,graduado
Periodismo y comunicación,1,diurna,127.0,120.7,0,1,0,20,15.5,2.8,-4.06,0,6,6,5,13.2,0,abandono
Servicio social,1,diurna,137.0,137.4,0,1,0,18,10.8,1.4,1.74,0,6,10,1,12.0,0,continua_matriculado
Enfermería,2,diurna,135.0,127.3,0,1,0,18,15.5,2.8,-4.06,0,7,8,7,13.30625,0,graduado
Equinocultura,1,diurna,137.0,136.3,0,1,0,20,10.8,1.4,1.74,0,5,8,4,12.5,1,graduado
Educación básica,1,diurna,140.0,124.6,0,1,0,18,16.2,0.3,-0.92,0,7,7,6,11.666666666666666,0,continua_matriculado
Diseño de animación y multimedia,3,diurna,122.0,120.3,0,1,1,21,11.1,0.6,2.02,0,0,0,0,0.0,0,graduado
Higiene oral,4,diurna,127.0,121.8,0,1,0,20,12.7,3.7,-1.7,0,7,14,7,11.4375,0,continua_matriculado
Enfermería,4,diurna,142.0,125.5,0,1,0,18,12.7,3.7,-1.7,0,8,12,7,12.857142857142858,0,graduado
Gestión de publicidad y marketing,4,diurna,125.0,114.9,0,1,1,19,11.1,0.6,2.02,0,6,8,6,13.375,0,graduado
Enfermería,1,diurna,126.0,123.9,0,1,0,19,11.1,0.6,2.02,0,7,8,6,13.296666666666669,0,graduado
Servicio social,1,diurna,151.0,157.0,1,1,1,18,7.6,2.6,0.32,0,6,8,5,11.6,0,continua_matriculado
Servicio social,2,diurna,115.0,116.4,0,1,0,21,16.2,0.3,-0.92,0,6,9,6,11.375,0,graduado
Enfermería veterinaria,1,diurna,138.0,131.0,0,1,0,18,9.4,-0.8,-3.12,0,5,9,5,12.666666666666666,2,continua_matriculado
Administración,1,diurna,135.0,122.1,0,1,0,20,16.2,0.3,-0.92,0,5,6,5,12.0,0,graduado
Enfermería,2,diurna,127.0,118.8,0,1,0,19,16.2,0.3,-0.92,0,7,9,6,12.933333333333332,0,continua_matriculado
Agronomía,1,diurna,150.0,150.0,0,1,0,21,16.2,0.3,-0.92,0,6,15,5,11.857142857142858,0,continua_matriculado
Diseño de comunicación,1,diurna,125.0,130.0,0,1,0,20,8.9,1.4,3.51,2,6,7,6,12.833333333333334,0,graduado
Administración,1,diurna,143.0,138.8,0,0,0,18,8.9,1.4,3.51,0,5,9,3,11.333333333333334,0,continua_matriculado
Servicio social,1,vespertina,138.0,134.5,0,1,0,19,12.4,0.5,1.79,0,6,6,6,12.666666666666666,0,graduado
Administración,1,vespertina,130.0,131.4,0,1,0,34,13.9,-0.3,0.79,0,5,6,5,12.4,0,graduado
Tecnologías de producción de biocombustibles,1,diurna,130.0,102.5,1,0,0,37,8.9,1.4,3.51,0,7,7,0,0.0,0,abandono
Ingeniería informática,1,diurna,133.1,128.8,0,1,0,43,7.6,2.6,0.32,0,5,0,0,0.0,0,abandono
Administración,1,diurna,140.0,122.9,0,1,0,55,16.2,0.3,-0.92,0,5,10,1,10.0,0,abandono
Administración,1,vespertina,120.0,113.9,0,1,0,39,7.6,2.6,0.32,0,5,8,5,11.0,0,graduado
Equinocultura,1,diurna,120.0,120.0,1,0,0,20,12.4,0.5,1.79,2,6,13,3,11.666666666666666,0,abandono
Periodismo y comunicación,5,diurna,126.0,121.1,1,1,0,18,12.7,3.7,-1.7,0,6,6,4,12.75,0,abandono
Administración,2,diurna,133.0,120.4,0,1,0,22,8.9,1.4,3.51,0,5,5,5,14.8,0,graduado
Enfermería,6,diurna,103.0,100.6,0,1,0,22,11.1,0.6,2.02,0,7,9,5,13.928,0,graduado
Periodismo y comunicación,1,diurna,120.0,121.4,0,0,0,20,12.4,0.5,1.79,0,6,7,4,13.0,0,abandono
Administración,1,vespertina,133.1,109.7,0,1,0,29,16.2,0.3,-0.92,0,5,0,0,0.0,0,abandono
Administración,1,vespertina,154.0,134.1,0,1,0,24,7.6,2.6,0.32,0,5,9,2,11.5,0,continua_matriculado
Servicio social,2,diurna,130.0,127.6,0,1,0,18,11.1,0.6,2.02,0,6,6,6,11.666666666666666,0,graduado
Enfermería,6,diurna,132.0,132.4,0,1,1,22,11.1,0.6,2.02,0,7,8,6,13.516666666666666,0,graduado
Servicio social,1,vespertina,130.0,133.4,0,1,1,21,12.4,0.5,1.79,3,6,6,6,11.5,0,graduado
Servicio social,1,diurna,139.0,126.1,0,1,1,19,12.7,3.7,-1.7,0,6,7,5,12.333333333333334,0,graduado
Turismo,1,diurna,130.0,113.5,0,1,1,24,12.4,0.5,1.79,0,6,6,6,13.666666666666666,0,graduado
Enfermería,1,diurna,139.0,121.3,0,1,1,19,9.4,-0.8,-3.12,0,8,10,6,11.833333333333334,0,continua_matriculado
Periodismo y comunicación,1,diurna,127.0,121.8,0,1,1,20,9.4,-0.8,-3.12,0,6,11,4,14.0,0,continua_matriculado
Equinocultura,3,diurna,167.0,159.3,0,1,0,19,7.6,2.6,0.32,0,5,7,5,14.714285714285714,0,graduado
Administración,1,vespertina,130.0,120.0,0,1,0,27,9.4,-0.8,-3.12,0,5,12,5,10.6,0,abandono
Enfermería,1,diurna,130.0,129.1,0,1,0,18,15.5,2.8,-4.06,0,7,9,7,13.044444444444444,0,graduado
Turismo,1,diurna,130.0,130.0,0,1,0,39,12.4,0.5,1.79,0,6,10,0,0.0,0,abandono
Equinocultura,1,diurna,129.0,155.3,0,1,0,27,12.4,0.5,1.79,0,6,9,5,13.0,0,abandono
Enfermería,1,diurna,141.0,139.8,0,1,0,18,9.4,-0.8,-3.12,0,8,8,8,14.935,0,graduado
Diseño de animación y multimedia,3,diurna,125.0,115.2,0,1,0,18,7.6,2.6,0.32,0,0,0,0,0.0,0,continua_matriculado
Enfermería,2,diurna,125.0,114.9,0,1,0,18,16.2,0.3,-0.92,0,7,8,6,13.133333333333333,0,graduado
Servicio social,1,diurna,130.0,131.9,0,1,1,21,13.9,-0.3,0.79,3,6,7,6,12.0,0,graduado
Diseño de animación y multimedia,3,diurna,133.0,126.0,0,1,1,19,10.8,1.4,1.74,0,0,0,0,0.0,0,continua_matriculado
Diseño de comunicación,1,diurna,127.0,130.2,0,1,0,19,10.8,1.4,1.74,0,6,6,5,11.4,0,continua_matriculado
Diseño de comunicación,1,diurna,116.0,120.9,0,1,0,24,12.7,3.7,-1.7,0,6,6,0,0.0,0,continua_matriculado
Enfermería,1,diurna,133.1,126.0,0,1,0,29,13.9,-0.3,0.79,2,7,10,5,11.9,0,abandono
Diseño de animación y multimedia,3,diurna,139.0,128.2,0,1,1,19,10.8,1.4,1.74,0,0,0,0,0.0,0,graduado
Agronomía,1,diurna,130.0,130.0,0,1,0,23,8.9,1.4,3.51,0,6,8,6,12.571428571428571,0,graduado
Administración,3,diurna,125.0,120.1,1,1,0,19,16.2,0.3,-0.92,0,5,8,5,11.2,0,abandono
Turismo,1,diurna,160.0,100.0,0,1,0,26,12.7,3.7,-1.7,0,6,7,6,12.0,0,continua_matriculado
Administración,1,diurna,148.0,134.0,0,1,0,18,7.6,2.6,0.32,0,5,9,0,0.0,0,continua_matriculado
Enfermería,1,diurna,150.0,130.8,0,1,0,24,13.9,-0.3,0.79,0,7,8,7,11.975,0,graduado
Diseño de animación y multimedia,1,diurna,141.0,135.8,0,1,0,19,15.5,2.8,-4.06,0,0,0,0,0.0,0,abandono
Turismo,4,diurna,118.0,111.7,0,1,0,18,12.4,0.5,1.79,0,6,12,3,11.666666666666666,0,abandono
Periodismo y comunicación,2,diurna,142.0,132.9,0,1,0,18,10.8,1.4,1.74,0,6,8,6,12.333333333333334,0,graduado
Administración,3,diurna,120.0,115.5,1,1,0,18,10.8,1.4,1.74,0,5,8,3,10.333333333333334,0,abandono
Turismo,4,diurna,106.0,106.0,0,1,1,21,9.4,-0.8,-3.12,0,6,8,4,10.5,0,abandono
Periodismo y comunicación,4,diurna,121.0,120.3,1,1,1,19,8.9,1.4,3.51,0,6,6,6,13.666666666666666,0,graduado
Enfermería,4,diurna,150.0,130.8,0,1,1,22,16.2,0.3,-0.92,0,7,7,7,14.842857142857142,0,graduado
Servicio social,1,vespertina,120.0,117.0,0,1,0,33,10.8,1.4,1.74,0,6,8,6,12.0,0,graduado
Educación básica,6,diurna,114.0,110.2,0,1,0,20,10.8,1.4,1.74,0,6,8,5,12.2,0,abandono
Administración,1,vespertina,140.0,155.7,0,1,0,35,10.8,1.4,1.74,0,1,1,0,0.0,1,abandono
Agronomía,1,diurna,160.0,180.4,1,1,0,24,12.4,0.5,1.79,6,12,17,6,12.166666666666666,0,abandono
Turismo,1,diurna,120.0,125.5,0,1,0,18,12.7,3.7,-1.7,0,5,6,5,12.0,0,continua_matriculado
Servicio social,1,vespertina,130.0,110.0,0,1,0,33,9.4,-0.8,-3.12,0,6,7,6,11.0,0,graduado
Enfermería,1,diurna,160.0,161.0,0,1,1,22,10.8,1.4,1.74,0,8,8,7,13.08,0,graduado
Gestión de publicidad y marketing,1,diurna,120.0,100.0,0,1,1,25,9.4,-0.8,-3.12,0,5,7,4,10.5,0,graduado
Diseño de comunicación,1,diurna,124.0,117.6,0,1,0,20,7.6,2.6,0.32,0,6,9,6,10.666666666666666,1,graduado
Administración,6,diurna,143.0,128.7,0,1,0,23,11.1,0.6,2.02,0,5,6,4,14.0,0,continua_matriculado
Ingeniería informática,2,diurna,115.0,112.2,1,1,0,18,15.5,2.8,-4.06,0,5,9,2,10.0,0,continua_matriculado
Enfermería,1,diurna,133.1,100.8,0,1,0,24,13.9,-0.3,0.79,0,7,18,0,0.0,0,abandono
Periodismo y comunicación,2,diurna,133.1,105.0,0,0,0,21,8.9,1.4,3.51,0,6,6,6,14.0,0,graduado
Equinocultura,1,diurna,133.1,100.0,0,1,0,26,8.9,1.4,3.51,0,6,7,2,12.0,1,abandono
Educación básica,1,diurna,133.1,115.5,0,1,0,39,7.6,2.6,0.32,0,6,12,3,12.666666666666666,0,abandono
Servicio social,1,vespertina,133.1,114.0,0,1,0,44,12.7,3.7,-1.7,2,8,11,8,11.875,0,graduado
Ingeniería informática,1,diurna,130.0,137.0,0,1,0,19,13.9,-0.3,0.79,0,5,9,5,14.0,0,continua_matriculado
Periodismo y comunicación,5,diurna,135.0,124.9,0,1,0,18,8.9,1.4,3.51,0,6,6,6,13.666666666666666,0,graduado
Enfermería,5,diurna,132.0,120.3,0,1,1,18,12.4,0.5,1.79,0,7,7,7,13.75,0,graduado
Enfermería veterinaria,1,diurna,135.0,134.3,0,1,0,19,12.7,3.7,-1.7,0,5,7,5,14.2,2,continua_matriculado
Enfermería,4,diurna,115.0,111.5,1,0,0,19,13.9,-0.3,0.79,0,7,10,4,11.96,0,abandono
Enfermería veterinaria,1,diurna,130.0,128.8,0,1,0,21,8.9,1.4,3.51,7,10,12,8,12.875,0,abandono
Diseño de animación y multimedia,4,diurna,133.1,110.0,0,1,0,20,16.2,0.3,-0.92,0,0,0,0,0.0,0,graduado
Servicio social,1,vespertina,130.0,113.5,0,1,0,36,9.4,-0.8,-3.12,0,6,0,0,0.0,0,abandono
Agronomía,1,diurna,133.1,160.0,0,1,0,43,15.5,2.8,-4.06,13,18,19,18,14.63157894736842,0,graduado
Educación básica,1,diurna,123.0,117.4,0,1,0,19,11.1,0.6,2.02,0,6,0,0,0.0,0,abandono
Diseño de comunicación,1,diurna,130.0,122.2,1,1,0,20,11.1,0.6,2.02,4,10,12,10,13.0,0,graduado
Servicio social,2,diurna,122.0,118.2,0,1,0,19,16.2,0.3,-0.92,0,6,0,0,0.0,0,abandono
Enfermería veterinaria,1,diurna,113.0,106.7,0,1,0,20,15.5,2.8,-4.06,0,6,15,4,14.2,0,abandono
Enfermería,5,diurna,111.0,108.2,0,1,0,20,12.4,0.5,1.79,2,7,9,6,13.266666666666666,0,abandono
Educación básica,2,diurna,133.1,107.0,0,1,0,20,16.2,0.3,-0.92,0,7,12,6,11.666666666666666,0,continua_matriculado
Servicio social,1,diurna,142.0,136.1,0,1,0,18,13.9,-0.3,0.79,0,6,8,6,13.857142857142858,0,graduado
Administración,2,diurna,123.0,115.3,0,1,1,18,8.9,1.4,3.51,0,5,9,3,13.0,0,continua_matriculado
Enfermería veterinaria,1,diurna,131.0,139.8,0,1,0,19,10.8,1.4,1.74,0,5,6,5,13.4,0,graduado
Periodismo y comunicación,3,diurna,158.0,157.0,0,1,0,18,10.8,1.4,1.74,0,6,6,6,12.666666666666666,0,graduado
Enfermería,2,diurna,122.0,131.0,0,1,0,18,7.6,2.6,0.32,0,7,7,6,12.516666666666666,1,abandono
Enfermería,1,diurna,130.0,100.0,0,1,0,20,13.9,-0.3,0.79,0,7,11,6,11.616666666666667,0,continua_matriculado
Servicio social,1,diurna,154.0,140.4,0,1,1,20,7.6,2.6,0.32,0,6,13,2,10.0,0,continua_matriculado
Administración,1,diurna,120.0,113.4,0,1,0,20,12.4,0.5,1.79,0,5,11,3,10.333333333333334,0,continua_matriculado
Enfermería veterinaria,2,diurna,140.0,137.0,0,1,0,18,9.4,-0.8,-3.12,0,5,12,5,13.142857142857142,2,graduado
Administración,1,diurna,127.0,121.8,0,1,0,18,11.1,0.6,2.02,0,5,5,5,12.6,0,graduado
Turismo,1,diurna,133.1,131.0,0,1,0,21,9.4,-0.8,-3.12,0,6,12,3,11.0,0,abandono
Administración,2,diurna,120.0,118.6,0,1,0,19,16.2,0.3,-0.92,0,5,8,5,10.8,0,graduado
Diseño de animación y multimedia,1,diurna,137.0,122.3,0,1,0,19,10.8,1.4,1.74,0,0,0,0,0.0,0,abandono
Gestión de publicidad y marketing,1,diurna,131.0,127.9,0,1,1,19,9.4,-0.8,-3.12,0,5,5,5,12.8,0,graduado
Enfermería veterinaria,1,diurna,130.0,121.3,0,1,0,19,15.5,2.8,-4.06,0,6,15,6,14.166666666666666,0,graduado
Higiene oral,6,diurna,122.0,117.1,0,1,0,19,13.9,-0.3,0.79,0,7,12,5,12.1,0,abandono
Enfermería veterinaria,1,diurna,160.0,160.0,0,1,0,20,12.4,0.5,1.79,1,6,7,6,14.166666666666666,0,graduado
Educación básica,1,diurna,146.0,145.3,0,1,1,18,9.4,-0.8,-3.12,0,6,8,5,12.8,0,continua_matriculado
Servicio social,3,diurna,131.0,122.6,0,1,0,18,12.4,0.5,1.79,0,6,7,6,13.0,0,graduado
Enfermería,6,diurna,132.0,128.0,0,1,0,19,12.4,0.5,1.79,0,7,7,7,13.467142857142855,0,graduado
Enfermería,3,diurna,138.0,124.9,0,1,1,18,13.9,-0.3,0.79,0,7,9,7,13.2375,0,abandono
Diseño de comunicación,2,diurna,130.0,123.7,0,1,0,18,7.6,2.6,0.32,0,6,6,6,12.333333333333334,0,graduado
Administración,4,diurna,126.0,120.1,0,1,0,19,8.9,1.4,3.51,0,5,7,5,12.4,0,graduado
Enfermería,6,diurna,148.0,131.7,0,1,0,19,13.9,-0.3,0.79,0,7,8,5,14.0,0,abandono
Servicio social,1,diurna,130.0,133.2,0,1,0,20,7.6,2.6,0.32,5,9,15,9,11.666666666666666,0,graduado
Gestión de publicidad y marketing,1,diurna,117.0,109.3,1,0,1,19,12.4,0.5,1.79,0,6,7,5,12.0,0,abandono
Gestión de publicidad y marketing,1,diurna,120.0,113.0,0,1,0,20,7.6,2.6,0.32,0,5,7,4,12.2,0,graduado
Periodismo y comunicación,1,diurna,153.0,157.9,1,1,1,18,8.9,1.4,3.51,0,6,6,6,14.833333333333334,0,graduado
Enfermería,2,diurna,117.0,112.1,0,1,1,20,11.1,0.6,2.02,0,7,9,5,13.188,0,continua_matriculado
Enfermería,1,diurna,178.0,174.7,0,1,0,18,13.9,-0.3,0.79,0,7,8,7,17.125,0,graduado
Enfermería,5,diurna,129.0,128.8,0,1,0,19,7.6,2.6,0.32,0,7,7,6,12.666666666666666,0,graduado
Periodismo y comunicación,6,diurna,116.0,110.1,0,1,1,19,12.4,0.5,1.79,0,6,8,6,12.666666666666666,0,graduado
Administración,1,diurna,99.0,99.7,1,0,0,22,8.9,1.4,3.51,0,5,8,0,0.0,0,continua_matriculado
Servicio social,3,diurna,135.0,121.0,0,1,1,19,12.4,0.5,1.79,0,6,7,6,11.333333333333334,0,graduado
Enfermería,3,diurna,141.0,131.7,0,1,1,19,15.5,2.8,-4.06,0,7,10,7,13.605,0,graduado
Educación básica,5,diurna,132.0,119.1,0,1,1,19,9.4,-0.8,-3.12,0,6,10,5,12.0,0,graduado
Turismo,4,diurna,132.0,124.7,0,1,0,19,7.6,2.6,0.32,0,5,10,0,0.0,0,abandono
Turismo,1,diurna,113.0,117.2,0,1,0,20,7.6,2.6,0.32,0,6,8,5,11.2,0,abandono
Administración,1,diurna,134.0,128.8,0,1,0,18,13.9,-0.3,0.79,0,5,10,5,13.375,0,graduado
Enfermería,1,diurna,136.0,131.5,0,1,1,20,11.1,0.6,2.02,0,7,8,6,13.863333333333337,0,graduado
Diseño de animación y multimedia,1,diurna,136.0,121.7,0,1,0,18,9.4,-0.8,-3.12,0,0,0,0,0.0,0,continua_matriculado
Enfermería veterinaria,1,diurna,129.0,123.4,0,1,0,19,7.6,2.6,0.32,0,5,6,5,12.4,0,graduado
Educación básica,1,diurna,138.0,124.7,0,1,0,18,9.4,-0.8,-3.12,0,6,11,3,12.333333333333334,0,continua_matriculado
Educación básica,1,diurna,137.0,132.8,0,1,0,18,7.6,2.6,0.32,0,6,7,6,13.333333333333334,0,graduado
Educación básica,1,diurna,115.0,108.7,0,1,0,21,9.4,-0.8,-3.12,0,6,10,3,12.666666666666666,0,abandono
Educación básica,1,diurna,129.0,138.1,0,1,0,19,7.6,2.6,0.32,0,6,8,6,12.0,0,abandono
Administración,1,diurna,131.0,126.5,0,1,1,18,12.4,0.5,1.79,0,5,5,5,10.6,0,graduado
Servicio social,2,diurna,133.0,127.4,0,1,1,18,12.7,3.7,-1.7,0,6,8,6,12.25,0,graduado
Servicio social,3,diurna,125.0,123.6,0,1,0,20,9.4,-0.8,-3.12,0,6,10,4,11.0,0,graduado
Servicio social,1,vespertina,120.0,122.0,0,1,1,24,11.1,0.6,2.02,0,6,11,5,11.0,0,graduado
Gestión de publicidad y marketing,1,diurna,128.0,118.2,0,1,0,19,10.8,1.4,1.74,0,6,6,6,13.166666666666666,0,abandono
Enfermería,1,diurna,127.0,123.9,0,1,1,18,15.5,2.8,-4.06,0,7,9,7,12.855555555555554,0,graduado
Enfermería,2,diurna,134.0,125.8,0,1,0,18,15.5,2.8,-4.06,0,7,8,7,14.91875,0,graduado
Educación básica,5,diurna,132.0,123.3,0,1,0,21,10.8,1.4,1.74,0,6,13,4,11.5,0,abandono
